OBJECTID,Nombre,Dirección,Teléfono,Celular,Correo Electrónico,Código del centro,Consecutivo,Nombre del Representante,Código Localidad,Nombre Localidad,Código UPZ,Nombre UPZ,Código Sector Catastral,Nombre Sector Catastral,Estado,Coordenadas X,Coordenadas Y
1,Biblioteca Comunitaria La Despensa de Los Libros,KR 12 11 72 SUR,8210901 - 7280256 - 7756842,3123476644,felcontrabajo1994@gmail.com - colectivo.planetapalabra@gmail.com,24,1,Hector Escamilla Rojas,0,Soacha,N.A.,N.A.,N.A.,N.A.,Activo,"-74,18962086200","4,59663353000"
2,Biblioteca Comunitaria Alameda El Porvenir II,CL 55 SUR 104 49,6462333 ext. 218 - 234,3125522778,Dmora@arfundacion.org,533,2,Diana Mora,7,Bosa,UPZ86,El Porvenir,4631,El Corzo,Activo,"-74,18908252800","4,63241651300"
3,Biblioteca Comunitaria Alameda Porvenir I,CL 55 SUR 104 48,6462333 ext. 218 - 234,3125522778,Dra@arfundacion.org,534,3,Alcira Arevalo Gomez,7,Bosa,UPZ86,El Porvenir,4631,El Corzo,Activo,"-74,18896854900","4,63247135400"
4,Biblioteca Comunitaria El Recreo,CL 72 SUR 104,7858816,3105705567,N.A.,535,4,Carlos Andrés Hoyos Pérez.,7,Bosa,UPZ87,Tintal Sur,4573,Ciudadela El Recreo,Desactivo,"-74,20539412200","4,63696154800"
5,Corporación Cultural y Recreativa Don Segundo,CL 73 80J 27 SUR,7769081,317732434,N.A.,536,5,Kristóbal Fuentes,7,Bosa,UPZ85,Bosa Central,4533,El Retazo,Desactivo,"-74,19801996300","4,60840404900"
6,Sala de Lectura Fundacion Grupo Social Comunitario El  Arca de Ismael,TV 1A BIS 40 23 ESTE,2883995,3184118179,monicalopezmoreno76@gmail.com,537,6,Consuelo Moreno Angel,2,Chapinero,UPZ90,Pardo Rubio,8110,El Paraiso,Activo,"-74,06007909800","4,62710622200"
7,Biblioteca Comunitaria Ludoteca Alexander Contreras,KR 12A ESTE 97 61,N.A.,3003154541 - 3113240646,N.A.,76,7,Consejo Comunitario,2,Chapinero,UPZ89,San Isidro Patios,8317,San Isidro,Desactivo,"-74,01803411600","4,66789360500"
8,Biblioteca Comunitaria San Martín De Porres,CL 46 KR 3 ESTE,2859928 - 2321428,NA,N.A.,80,8,Yolanda Vega,2,Chapinero,UPZ90,Pardo Rubio,201503,Siberia II,Activo,"-74,05862699800","4,63155925200"
9,Biblioteca Comunitaria Mirador Del Rey,KR 17F 71A 95 SUR,N.A.,320406429,bibliotecamiradordelrey@gmail.com,538,9,Nancy Carmona Lopez,19,Ciudad Bolivar,UPZ68,El Tesoro,2533,Sotavento,Activo,"-74,13964866300","4,54524376600"
10,Biblioteca Comunitaria Construir Comunidad,kR 26A BIS B 76 44,6756169,3012639538,bibliotecaconstruirc@gmail.com,539,10,Mauricio Grande,19,Ciudad Bolivar,UPZ67,Lucero,2582,Bella Flor Sur,Activo,"-74,15680665300","4,54057976000"
11,Centro Comunitario Jesus Maestro,KR 31 51 03 SUR,3186399719,NA,gladys.ccjm@gmail.com,540,11,Luz Marina Valencia,6,Tunjuelito,UPZ42,Tunjuelito,2407,El Carmen,Desactivo,"-74,13745385900","4,58203608800"
12,Fundacion Ciudad Talento,CL 68D 49 10,8057895,3014819421,fct@fundacionciudadtalento.org,541,12,Alejandro Zapata,19,Ciudad Bolivar,UPZ70,Jerusalem,2412,Verona,Desactivo,"-74,15741593200","4,57741289000"
13,Biblioteca Comunitaria Imago San Joaquin del Vaticano,DG 81A BIS SUR 17D 15,7925477 - 7665910 - 2876300,3112371624,imago@fundacionimago.org.co,156,13,Martha Lucía Vargas Rodríguez,19,Ciudad Bolivar,UPZ68,El Tesoro,2583,Quiba Urbano,Desactivo,"-74,14274371500","4,53484742600"
14,Fundacion Manos Creadoras,KR 18A BIS 78 03 SUR,7900433,3132098505,funmanosKreadoras@hotmail.com,542,14,María Del Pilar Muñoz Jiménez,19,Ciudad Bolivar,UPZ68,El Tesoro,2574,Cedritos Del Sur,Desactivo,"-74,14327841700","4,53994325100"
15,Biblioteca Comunitária Juan Bosco Obrero,KR 18G 74A 59 SUR,5687306,NA,N.A.,163,16,Giovanni Ramírez,19,Ciudad Bolivar,UPZ67,Lucero,2546,Naciones Unidas,Activo,"-74,14721951000","4,54320091600"
16,Asociación Biblioteca Comunitaria Juan Pablo II,KR 18Q 68B 10 SUR,7909644,3214774606,semillascreativas@yahoo.es,469,78,José Ignacio Caro,19,Ciudad Bolivar,UPZ67,Lucero,2552,Juan Pablo II,Activo,"-74,14844015200","4,55423763300"
17,Biblioteca Comunitaria Instituto Cerros del Sur,CL 81 SUR 42 09,7172495 - 7187781,3142990605,Ices@etb.net.co,532,17,Mauricio Sanabria,19,Ciudad Bolivar,UPZ70,Jerusalem,2431,Potosi,Activo,"-74,17112201500","4,56837113300"
18,Biblioteca Comunitaria La Estrella,KR 18B 73 09 SUR,7659967,NA,N.A.,146,18,Miriam Montealegre,19,Ciudad Bolivar,UPZ67,Lucero,2540,Estrella Del Sur,Desactivo,"-74,14386747600","4,54463684100"
19,Biblioteca Comunitaria Santa Silvia,CL 69C 17F 41 SUR,7913470,NA,N.A.,152,19,Amílcar Tibaduiza,19,Ciudad Bolivar,UPZ67,Lucero,2517,Lucero Del Sur,Desactivo,"-74,14036492300","4,54846420200"
20,Sala de Lectura Parroquia San Juan Bautista de La Estrada,KR 69 K 68 58,3175050332,NA,nidiavegazo@gmail.com,543,20,Luis Eduardo Sanchez,10,Engativa,UPZ26,las Ferias,5502,La Estrada,Activo,"-74,09295113800","4,67924012900"
21,Junta de Acción Comunal Urbanizacion La Bonanza,TV 71 BIS 75A 46,4306082,3125595137,N.A.,544,21,Alfonso Garcia Mercado,10,Engativa,UPZ26,las Ferias,5406,Bonanza,Activo,"-74,09000085900","4,69005956900"
